régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
1,31,UGC NORMANDIE,ILE-DE-FRANCE,116 AVENUE DES CHAMPS ELYSEES,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,4,1533,25,2537,82854,166625,-50.2751687921981%,De 80 à 100 000 entrées,UGC,NON,NON,,FIXE,NON,C,127,39,30,18.5361612037352%,41.9606064042947%,27.9220697390143%,11.5811626529558%,58,32.6078353779185%,34.4246594331657%,48.872265,2.300938
1,35,BALZAC,ILE-DE-FRANCE,1 RUE BALZAC,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,3,589,50,4807,94257,101748,-7.36230687581083%,De 80 à 100 000 entrées,,OUI,A,RD,FIXE,NON,C,222,94,64,57.8960563318872%,16.6292428767631%,15.4716487541148%,10.0030520372349%,188,96.6993185689949%,93.2103071657474%,48.872431,2.299525
1,55,ELYSEES LINCOLN,ILE-DE-FRANCE,14 RUE LINCOLN,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,3,448,50,4333,37693,40325,-6.52696838189709%,De 30 à 40 000 entrées,,OUI,A,RDJP,FIXE,NON,C,186,99,73,67.5438355788492%,9.7302636994759%,12.8172762944873%,9.90862442718766%,124,91.6549460853258%,84.957330625909%,48.870512,2.303157
1,204, UGC OPERA,ILE-DE-FRANCE,32 BD DES ITALIENS,75109,Paris 9e Arrondissement,60784,75,00851,Paris,10947378,01-Paris,4,722,53,6193,140291,122918,14.1338127857596%,De 100 à 150 000 entrées,UGC,NON,NON,,FIXE,NON,C,113,64,61,53.4681483487893%,25.261064501643%,19.0817657583166%,2.18902139125104%,68,47.6667204908768%,43.4183233421959%,48.871332,2.335302
1,301,MAX LINDER,ILE-DE-FRANCE,24 BD POISSONNIERE,75109,Paris 9e Arrondissement,60784,75,00851,Paris,10947378,01-Paris,1,591,53,1557,100666,94613,6.39764091615317%,De 100 à 150 000 entrées,,OUI,A,PR,FIXE,NON,C,225,32,17,17.3974989749898%,45.1691266912669%,24.8462484624846%,12.5871258712587%,146,69.4661458333333%,54.4280442804428%,48.871363,2.344886
1,311,GRAND REX,ILE-DE-FRANCE,5 BD POISSONNIERE,75102,Paris 2e Arrondissement,21277,75,00851,Paris,10947378,01-Paris,7,4274,53,9693,645954,691125,-6.53586543678785%,De 450 à 700 000 entrées,,NON,NON,,FIXE,NON,C,298,119,108,14.282172663925%,66.7395762561606%,13.9997395338912%,4.97851154602326%,73,6.64935064935065%,4.9267321388504%,48.86872,2.347608
1,321,PATHE OPERA,ILE-DE-FRANCE,32 RUE LOUIS LEGRAND,75102,Paris 2e Arrondissement,21277,75,00851,Paris,10947378,01-Paris,6,1126,28,4489,139275,271989,-48.7938850468217%,De 100 à 150 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,NON,C,91,63,54,27.9923551511892%,41.232768205568%,27.077444062525%,3.69743258071783%,48,45.5908683974933%,35.4300954152708%,48.870632,2.334338
1,451,UGC MONTPARNASSE,ILE-DE-FRANCE,83 BD DU MONTPARNASSE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,7,1490,53,11314,324787,316547,2.60308895677419%,De 300 à 450 000 entrées,UGC,NON,NON,,FIXE,NON,C,181,112,102,43.1594693954664%,35.8446095571998%,19.5449040966064%,1.45101695072737%,79,28.4892468360032%,28.4126772733889%,48.84351,2.325646
1,481,PATHE PARNASSE,ILE-DE-FRANCE,3 RUE D'ODESSA,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,15,1559,53,29341,410796,472926,-13.1373618705675%,De 300 à 450 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,299,220,171,31.8074716568775%,44.9867797139345%,19.3786953382637%,3.82705329092435%,102,21.0129604365621%,16.8853786563116%,48.843074,2.324424
1,483,ENTREPOT,ILE-DE-FRANCE,7 ET 9 RUE FRANCIS DE PRESSENSE,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,3,268,53,4860,59173,54129,9.31847992758041%,De 50 à 80 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,365,171,16,55.2082356691481%,9.83517410789627%,19.9028671079525%,15.0537231150031%,298,92.4388111888112%,88.5896979129554%,48.83393,2.31652
1,531,MK2 BEAUBOURG,ILE-DE-FRANCE,50 RUE RAMBUTEAU,75103,Paris 3e Arrondissement,33651,75,00851,Paris,10947378,01-Paris,6,557,53,12616,281328,279236,0.749187067570084%,De 200 à 300 000 entrées,MK2,OUI,A,RDPR,FIXE,NON,C,295,117,95,54.4504331507627%,15.5661509590416%,16.2822499108968%,13.701165979299%,211,96.7928367928368%,94.4497785148493%,48.861555,2.352217
1,612,UGC CINE CITE MAILLOT,ILE-DE-FRANCE,PALAIS CONGRES PL PORTE MAILLOT,75117,Paris 17e Arrondissement,167765,75,00851,Paris,10947378,01-Paris,12,1142,53,22102,363659,294283,23.5745863675442%,De 300 à 450 000 entrées,UGC,NON,NON,,FIXE,OUI,C,346,209,199,57.036401222114%,23.9857806432382%,16.4723188977791%,2.50549923686876%,214,49.60362400906%,42.7687450148072%,48.878512,2.282965
1,721,MK2 ODEON COTE SAINT-MICHEL,ILE-DE-FRANCE,7 RUE HAUTEFEUILLE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,4,510,53,7260,142591,125492,13.6255697574347%,De 100 à 150 000 entrées,MK2,OUI,A,RD,FIXE,NON,C,177,117,45,65.9973872543451%,9.90287402022038%,19.7524991480177%,4.34723957741679%,133,83.7845499645641%,84.1247302056117%,48.852188,2.342788
1,731,MK2 ODEON COTE SAINT-GERMAIN,ILE-DE-FRANCE,113 BD ST GERMAIN,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,5,678,53,9085,233647,223641,4.47413488582147%,De 200 à 300 000 entrées,MK2,NON,NON,,FIXE,NON,C,121,112,108,50.4757176424264%,29.3241513907733%,18.0045110786785%,2.19561988812182%,85,64.8761695101816%,61.80605785651%,48.852437,2.338266
1,733,STUDIO GALANDE,ILE-DE-FRANCE,42 RUE GALANDE,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,1,97,52,767,12197,13428,-9.16741137920763%,De 10 à 20 000 entrées,,OUI,A,,FIXE,NON,C,248,97,6,29.8990230687136%,8.25055414169608%,56.2433297758805%,5.60709301370988%,179,77.2068511198946%,86.4378950825056%,48.851619,2.347076
1,741,LES 3 LUXEMBOURG,ILE-DE-FRANCE,67 69 RUE MONSIEUR LE PRINCE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,334,53,5183,78041,72112,8.22193254936765%,De 50 à 80 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,300,96,25,54.8552622741621%,14.5207871583048%,22.3534152730204%,8.27053529451273%,270,95.2276357827476%,93.4931828866949%,48.84824,2.340797
1,751,SAINT ANDRE DES ARTS,ILE-DE-FRANCE,30 RUE ST ANDRE DES ARTS,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,510,53,5343,65391,56190,16.3747997864389%,De 50 à 80 000 entrées,,OUI,A,RDPR,FIXE,NON,C,429,136,68,59.7099621689786%,16.6172761664565%,15.4192938209332%,8.25346784363178%,314,84.2416158536585%,72.9413619167718%,48.853361,2.34211
1,801,MK2 PARNASSE,ILE-DE-FRANCE,11 RUE JULES CHAPLAIN,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,250,53,5240,61809,56586,9.23019828226063%,De 50 à 80 000 entrées,MK2,OUI,A,RDJPPR,FIXE,NON,C,133,110,2,54.5953023979049%,14.0109665275391%,17.3909485227924%,14.0027825517636%,119,88.0695443645084%,86.8352565676406%,48.842813,2.330525
1,802,UGC ROTONDE,ILE-DE-FRANCE,103 BD DU MONTPARNASSE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,467,53,4251,77114,73328,5.16310277111063%,De 50 à 80 000 entrées,UGC,NON,NON,,FIXE,NON,C,110,64,56,67.3094379749462%,3.96037036076458%,26.0264024690718%,2.70378919521747%,87,72.3123970830393%,61.599709520969%,48.842318,2.328975
1,814,LUCERNAIRE FORUM,ILE-DE-FRANCE,53 RUE NOTRE DAME DES CHAMPS,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,148,42,4146,36395,42230,-13.817191569974%,De 30 à 40 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,240,157,14,57.8653712699514%,15.2699514226232%,16.1970853573907%,10.6675919500347%,227,95.2721004678651%,91.7113115891742%,48.844244,2.330407
1,821,PARNASSIEN,ILE-DE-FRANCE,98 BD DU MONTPARNASSE,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,7,842,53,13901,313447,289903,8.12133713690441%,De 300 à 450 000 entrées,,OUI,A,RDJP,FIXE,NON,C,291,140,125,62.7179869248161%,11.0987476334691%,15.4792890247796%,10.7039764169352%,247,99.2912465293%,98.9704985921762%,48.842443,2.327625
1,883, CHRISTINE CINEMA CLUB,ILE-DE-FRANCE,4 RUE CHRISTINE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,2,234,53,3157,78920,74413,6.05673739803529%,De 50 à 80 000 entrées,,OUI,A,PR,FIXE,NON,C,337,13,3,9.73442128787485%,58.0648095213346%,20.4939971934931%,11.7067719972974%,286,88.9705882352941%,91.1945844810561%,48.854455,2.340132
1,1031,PUBLICIS ELYSEES,ILE-DE-FRANCE,133 AV DES CHAMPS ELYSEES,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,2,609,47,2133,50174,43444,15.4912070711721%,De 50 à 80 000 entrées,,NON,NON,,FIXE,NON,C,125,53,20,30.4508790072389%,29.311271975181%,23.8055842812823%,16.4322647362978%,50,47.8178368121442%,45.8324715615305%,48.872794,2.296984
1,1392,L'ARCHIPEL,ILE-DE-FRANCE,17 BD DE STRASBOURG,75110,Paris 10e Arrondissement,83873,75,00851,Paris,10947378,01-Paris,2,204,53,3510,42388,38286,10.7140991485138%,De 40 à 50 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,353,106,3,60.717268881524%,11.5943200495783%,16.8674049524425%,10.8210061164552%,299,95.3409441530392%,92.8192277638563%,48.870455,2.35466
1,1393,LE BRADY,ILE-DE-FRANCE,39 BOULEVARD DE STRASBOURG,75110,Paris 10e Arrondissement,83873,75,00851,Paris,10947378,01-Paris,2,139,53,4680,73463,63952,14.8720915686765%,De 50 à 80 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,408,116,4,51.2910612191996%,18.0892581978427%,12.4785783205403%,18.1411022624174%,314,92.0472619859123%,89.3014012298564%,48.871771,2.355398
1,1681,UGC CINE CITE LES HALLES,ILE-DE-FRANCE,101 RUE BERGER,75101,Paris 1er Arrondissement,16149,75,00851,Paris,10947378,01-Paris,27,3896,53,60470,2678644,2446406,9.49302773129235%,De 2 à 3 millions d'entrées,UGC,NON,NON,,FIXE,OUI,C,609,414,414,38.7445263670048%,35.1353344062278%,18.485684344474%,7.6344548822935%,362,53.412088732558%,47.6151802088402%,48.861424,2.345829
1,1791,LUMINOR HOTEL DE VILLE,ILE-DE-FRANCE,20 RUE DU TEMPLE,75104,Paris 4e Arrondissement,29326,75,00851,Paris,10947378,01-Paris,2,238,53,4038,86421,82737,4.45266325827623%,De 80 à 100 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,375,154,46,54.3004944265796%,11.6425384801149%,21.8221335333071%,12.2348335599985%,300,91.9820058216459%,87.2681978214726%,48.858689,2.353591
1,2251,MAJESTIC PASSY,ILE-DE-FRANCE,18 - 20 RUE DE PASSY,75116,Paris 16e Arrondissement,165118,75,00851,Paris,10947378,01-Paris,3,617,50,5608,129372,128276,0.854407683432598%,De 100 à 150 000 entrées,,NON,NON,,FIXE,NON,C,181,77,51,62.7419047316407%,13.6658298643109%,19.0060059105787%,4.58625949346976%,103,51.6507306512719%,48.1831326066923%,48.858204,2.282104
1,2543,MAC MAHON,ILE-DE-FRANCE,5/7 AV MAC MAHON,75117,Paris 17e Arrondissement,167765,75,00851,Paris,10947378,01-Paris,1,137,48,874,22624,15041,50.4155308822552%,De 20 à 30 000 entrées,,NON,NON,,FIXE,NON,C,308,1,0,86.4821713677488%,3.36171722547454%,8.01844952989179%,2.13766187688487%,191,67.2018348623853%,67.2875643072556%,48.875715,2.294655
1,2982,CAUMARTIN,ILE-DE-FRANCE,101 RUE ST LAZARE,75109,Paris 9e Arrondissement,60784,75,00851,Paris,10947378,01-Paris,5,501,53,9294,218582,195150,12.007173968742%,De 200 à 300 000 entrées,,OUI,A,,FIXE,NON,C,207,115,96,64.5653307251178%,6.10147127348894%,20.9406184977232%,8.39257950367011%,168,85.3868820255375%,82.7377959040558%,48.87561,2.32791
1,3211,LE CINEMA DES CINEASTES,ILE-DE-FRANCE,7 AVENUE DE CLICHY,75117,Paris 17e Arrondissement,167765,75,00851,Paris,10947378,01-Paris,3,476,53,5460,143128,139330,2.72590253355343%,De 100 à 150 000 entrées,,OUI,A,RDJP,FIXE,NON,C,188,78,65,63.9172233751568%,11.1522582442966%,18.277149163654%,6.65336921689265%,175,99.3796992481203%,97.9797165003263%,48.884303,2.326888
1,3222,PATHE WEPLER,ILE-DE-FRANCE,132 -140 BOULEVARD DE CLICHY,75118,Paris 18e Arrondissement,191911,75,00851,Paris,10947378,01-Paris,11,1757,53,20725,686449,686468,-0.00276779106964928%,De 450 à 700 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,312,224,157,42.8058187712338%,35.8638743455497%,18.4819983967253%,2.84830848649109%,170,40.4611852068982%,34.8097065654979%,48.883938,2.328034
1,3741,STUDIO 28,ILE-DE-FRANCE,10 RUE THOLOZE,75118,Paris 18e Arrondissement,191911,75,00851,Paris,10947378,01-Paris,1,172,48,1321,45340,43360,4.56642066420664%,De 40 à 50 000 entrées,,OUI,A,,FIXE,NON,C,174,129,0,60.0871643469703%,10.1410562819251%,16.8658325132387%,12.9059468578659%,137,82.6188620420889%,86.4028304981489%,48.886142,2.335342
1,4731,MK2 QUAI DE SEINE,ILE-DE-FRANCE,14 QUAI DE LA SEINE,75119,Paris 19e Arrondissement,184156,75,00851,Paris,10947378,01-Paris,6,991,53,11459,373778,367034,1.83743195453282%,De 300 à 450 000 entrées,MK2,OUI,A,JP,FIXE,NON,C,274,169,118,64.2380743836002%,12.6312089775812%,15.6365675201468%,7.49414911867177%,218,88.3442265795207%,87.5961315841592%,48.885073,2.371493
1,5691,MK2 GAMBETTA,ILE-DE-FRANCE,6 RUE BELGRAND,75120,Paris 20e Arrondissement,193044,75,00851,Paris,10947378,01-Paris,6,944,53,11963,353066,337087,4.74031926475954%,De 300 à 450 000 entrées,MK2,NON,NON,,FIXE,NON,C,248,125,99,46.0413685290047%,31.1110262204421%,16.500982935996%,6.34662231455715%,154,62.8278513455788%,64.7159770442571%,48.864763,2.399555
1,5841,MK2 BASTILLE COTE FAUBOURG SAINT-ANTOINE,ILE-DE-FRANCE,5 RUE DU FAUBOURG ST ANTOINE,75111,Paris 11e Arrondissement,145124,75,00851,Paris,10947378,01-Paris,3,423,53,5667,167951,159923,5.01991583449535%,De 150 à 200 000 entrées,MK2,OUI,A,RDPR,FIXE,NON,C,85,71,56,62.5378042340742%,13.667730785848%,12.9944553790024%,10.8000096010753%,81,99.243106866102%,99.4269358168115%,48.853157,2.370719
1,5852,MAJESTIC BASTILLE,ILE-DE-FRANCE,4 BD RICHARD LENOIR,75111,Paris 11e Arrondissement,145124,75,00851,Paris,10947378,01-Paris,2,356,50,3932,96331,100184,-3.8459235007586%,De 80 à 100 000 entrées,,OUI,A,RDJP,FIXE,NON,C,191,72,48,51.8267794922847%,11.2482716663901%,30.3954427299375%,6.52950611138765%,150,93.9480519480519%,93.3797909407666%,48.860238,2.37214
1,5861,MK2 BASTILLE COTE BEAUMARCHAIS,ILE-DE-FRANCE,3 BD R LENOIR 4/6 BD BEAUMARCHAI,75111,Paris 11e Arrondissement,145124,75,00851,Paris,10947378,01-Paris,4,469,53,7582,224000,216266,3.57615159109615%,De 200 à 300 000 entrées,MK2,OUI,A,,FIXE,NON,C,121,96,57,57.0185037803422%,22.9474912274355%,9.90531056687046%,10.1286944253518%,108,83.4060539950914%,77.2266034800854%,48.854674,2.369381
1,6212,MK2 NATION,ILE-DE-FRANCE,133 BOULEVARD DIDEROT,75112,Paris 12e Arrondissement,141275,75,00851,Paris,10947378,01-Paris,8,554,53,13177,363320,363351,-0.00853169524784575%,De 300 à 450 000 entrées,MK2,NON,NON,,FIXE,OUI,C,176,109,83,55.1392657431753%,22.7896271032669%,20.4649378505445%,1.60616930301325%,114,48.7272727272727%,48.2926050688418%,48.848213,2.39311
1,6531,UGC LYON BASTILLE,ILE-DE-FRANCE,12 RUE DE LYON,75112,Paris 12e Arrondissement,141275,75,00851,Paris,10947378,01-Paris,7,1273,53,12053,203564,225475,-9.71770706286728%,De 200 à 300 000 entrées,UGC,NON,NON,,FIXE,NON,C,188,122,118,50.2539741801104%,37.8087481087029%,11.1149319133049%,0.822345797881747%,62,15.523106280594%,14.380244051011%,48.847502,2.371855
1,6611,UGC CINE CITE BERCY,ILE-DE-FRANCE,2 COUR SAINT-EMILION,75112,Paris 12e Arrondissement,141275,75,00851,Paris,10947378,01-Paris,18,4480,53,37946,901108,946736,-4.81950617701239%,De 700 000 à 1 million d'entrées,UGC,NON,NON,,FIXE,OUI,C,557,289,284,36.8975270611819%,41.3413694647076%,17.1903865214187%,4.57071695269185%,265,35.7591263979743%,28.0961347858128%,48.833595,2.38604
1,7231,CHAPLIN SAINT LAMBERT,ILE-DE-FRANCE,6 RUE PECLET,75115,Paris 15e Arrondissement,231186,75,00851,Paris,10947378,01-Paris,3,363,50,5354,72375,79584,-9.05835343787696%,De 50 à 80 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,398,227,5,60.3066073892381%,15.6875670703664%,14.4534723286831%,9.5523532117124%,323,79.9341428277423%,79.8497623792733%,48.843204,2.298558
1,7394,GAUMONT CONVENTION,ILE-DE-FRANCE,27 RUE ALAIN CHARTIER,75115,Paris 15e Arrondissement,231186,75,00851,Paris,10947378,01-Paris,9,1263,53,18478,437856,438051,-0.0445153646493217%,De 300 à 450 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,278,217,185,60.51048098478%,17.1390300722484%,16.0616667322138%,6.2888222107579%,194,67.6940891045435%,60.358257433622%,48.837759,2.296259
1,7491,GAUMONT AQUABOULEVARD,ILE-DE-FRANCE,8/16 RUE DU COLONEL PIERRE AVIA,75115,Paris 15e Arrondissement,231186,75,00851,Paris,10947378,01-Paris,14,2450,53,27294,362416,426794,-15.0840920912665%,De 300 à 450 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,417,288,235,29.4511412467214%,48.7783916513198%,16.3792622356158%,5.39120486634299%,144,17.4793281174682%,11.0829287348624%,48.830408,2.276322
1,7711,PATHE MONTPARNOS,ILE-DE-FRANCE,16 18 RUE D ODESSA,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,4,390,53,8950,112929,113457,-0.465374547185277%,De 100 à 150 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,NON,C,133,119,95,85.5634555757511%,5.51694643429916%,2.37802487615382%,6.54157311379593%,94,78.6997825340506%,79.2178980006415%,48.841914,2.324596
1,8132,PATHE ALESIA,ILE-DE-FRANCE,73 AVENUE DU GENERAL LECLERC,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,8,1384,53,16145,407089,414029,-1.67621108666301%,De 300 à 450 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,272,189,128,39.3926633093632%,38.9735370835057%,18.9273142976044%,2.7064853095267%,143,34.312867325247%,28.8456441340907%,48.828166,2.327463
1,8161, CHAPLIN DENFERT,ILE-DE-FRANCE,24 PLACE DENFERT ROCHEREAU,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,1,133,50,1859,30555,31742,-3.7395249196648%,De 30 à 40 000 entrées,,OUI,A,JP,FIXE,NON,C,265,118,4,61.7889789423041%,12.4273713038007%,14.766292883313%,11.0173568705821%,233,85.1943244910549%,87.8612930683542%,48.833879,2.330976
1,8291,L ARLEQUIN PANORAMA,ILE-DE-FRANCE,76 RUE DE RENNES,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,3,591,50,5351,122566,136923,-10.4854553289075%,De 100 à 150 000 entrées,,OUI,A,RDPR,FIXE,NON,C,317,120,62,49.0943763966598%,13.7700152897491%,19.7825831275098%,17.3530251860813%,203,96.0030165912519%,88.5856141942638%,48.851278,2.330648
1,8331,UGC DANTON,ILE-DE-FRANCE,99 BD ST GERMAIN,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,4,612,53,8067,178693,172415,3.64121451149842%,De 150 à 200 000 entrées,UGC,NON,NON,,FIXE,NON,C,117,106,56,53.7322124163977%,21.2099797036392%,22.1716540686006%,2.88615381136257%,77,63.1069166770148%,61.9078579141673%,48.852138,2.338995
1,8341,NOUVEL ODEON,ILE-DE-FRANCE,6 RUE DE L ECOLE DE MEDECINE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,1,119,53,1513,36567,34788,5.11383235598482%,De 30 à 40 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,202,54,0,47.9662423907028%,18.5085777531821%,13.0298837852795%,20.4952960708356%,182,96.2641761174116%,93.4089651355838%,48.850764,2.341747
1,8353,UGC ODEON,ILE-DE-FRANCE,124 BD ST GERMAIN,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,5,641,53,10352,211150,203845,3.58360519021806%,De 200 à 300 000 entrées,UGC,NON,NON,,FIXE,NON,C,178,127,87,55.9150072942915%,20.5893219150831%,16.8228150281351%,6.67285576249029%,120,62.4251207729469%,62.4429245372388%,48.852353,2.339834
1,8361,ESPACE SAINT MICHEL,ILE-DE-FRANCE,7 PLACE ST MICHEL,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,2,210,49,3920,49974,41832,19.4635685599541%,De 40 à 50 000 entrées,,OUI,A,RD,FIXE,NON,C,162,84,81,57.9573445479123%,1.53799939921898%,26.2581355762491%,14.2465204766196%,123,87.9672299027138%,84.0993291278662%,48.853093,2.344228
1,8374,ECOLES CINEMA CLUB,ILE-DE-FRANCE,23 RUE DES ECOLES,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,2,200,53,3449,68621,63464,8.12586663305181%,De 50 à 80 000 entrées,,OUI,A,PR,FIXE,NON,C,371,4,4,23.2186840253343%,54.0273868167957%,11.1937016185785%,11.5602275392916%,307,89.2151162790698%,90.4747243725076%,48.848384,2.348973
1,8391,LE CINEMA DU PANTHEON,ILE-DE-FRANCE,13 RUE VICTOR COUSIN,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,1,200,53,1535,21278,19285,10.3344568317345%,De 20 à 30 000 entrées,,OUI,A,,FIXE,NON,C,63,19,5,87.2241248097412%,7.3677701674277%,4.96575342465753%,0.442351598173516%,58,99.6734160679295%,98.2638888888889%,48.847502,2.342301
1,8422,LE CHAMPO,ILE-DE-FRANCE,51 RUE DES ECOLES,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,2,240,53,3926,98994,105089,-5.79984584495047%,De 80 à 100 000 entrées,,OUI,A,PR,FIXE,NON,C,247,11,4,44.4688042386042%,14.5214822934746%,25.1636673670108%,15.8460461009104%,218,92.0297283444388%,94.5900957136912%,48.849983,2.343211
1,8425,QUARTIER LATIN I - FILMOTHEQUE,ILE-DE-FRANCE,9 RUE CHAMPOLLION,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,2,164,53,3677,120173,120465,-0.242394056364919%,De 100 à 150 000 entrées,,OUI,A,PR,FIXE,NON,C,615,7,3,26.3046359852419%,37.3453897655412%,7.81388515995036%,28.5360890892666%,543,91.6689731525048%,93.9017079945628%,48.849504,2.342788
1,8451,STUDIO DES URSULINES,ILE-DE-FRANCE,10 RUE DES URSULINES,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,1,121,50,1115,35217,32462,8.48684615858542%,De 30 à 40 000 entrées,,OUI,A,JPPR,FIXE,NON,C,182,24,8,51.053884072752%,16.0632330443651%,24.1755906850247%,8.70729219785824%,143,90.5982905982906%,85.6280809110998%,48.842733,2.342044
1,8513,REFLET MEDICIS 2,ILE-DE-FRANCE,7 RUE CHAMPOLLION,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,3,339,50,3555,69940,94748,-26.1831384303626%,De 50 à 80 000 entrées,,OUI,A,RDPR,FIXE,NON,C,262,53,29,40.1421786701936%,14.1321991102561%,25.7289287002525%,19.9966935192978%,197,95.2951490356517%,95.0057111939401%,48.849591,2.342836
1,8514,EPEE DE BOIS,ILE-DE-FRANCE,100 RUE MOUFFETARD,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,2,140,53,3220,41215,42312,-2.59264511249764%,De 40 à 50 000 entrées,,OUI,A,JPPR,FIXE,NON,C,369,111,4,55.6054586284332%,12.0129309281149%,15.6947906127384%,16.6868198307134%,279,89.5437262357415%,86.9950398539101%,48.841535,2.34958
1,8531,LE GRAND ACTION,ILE-DE-FRANCE,5 RUE DES ECOLES,75105,Paris 5e Arrondissement,58050,75,00851,Paris,10947378,01-Paris,3,363,53,4828,82737,81187,1.90917265079385%,De 80 à 100 000 entrées,,OUI,A,RDPR,FIXE,NON,C,322,45,35,26.6404182365748%,43.8666023493214%,15.3201308944891%,14.1728485196146%,221,90.6915477497256%,85.9431834478443%,48.847537,2.352122
1,8621,Pathé Les Fauvettes,ILE-DE-FRANCE,58 AVENUE DES GOBELINS,75113,Paris 13e Arrondissement,179013,75,00851,Paris,10947378,01-Paris,5,645,53,9087,134938,136705,-1.29256428075052%,De 100 à 150 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,NON,C,417,108,59,39.9878083597614%,39.7061660377941%,13.3614204032501%,6.94460519919443%,252,48.3252483252483%,39.7632661249875%,48.833574,2.353775
1,8632,UGC  GOBELINS,ILE-DE-FRANCE,66 BIS AV DES GOBELINS,75113,Paris 13e Arrondissement,179013,75,00851,Paris,10947378,01-Paris,11,1169,53,22992,433352,417249,3.85932620569492%,De 300 à 450 000 entrées,UGC,NON,NON,,FIXE,OUI,C,372,209,193,52.5349393010054%,23.9852013602509%,19.0898743831003%,4.38998495564349%,258,62.7400600966773%,58.7179611999323%,48.832888,2.354241
1,8661,ESCURIAL,ILE-DE-FRANCE,11 BD PORT ROYAL,75113,Paris 13e Arrondissement,179013,75,00851,Paris,10947378,01-Paris,2,329,50,3384,75169,87036,-13.6345879865803%,De 50 à 80 000 entrées,,OUI,A,RDJP,FIXE,NON,C,169,81,46,64.5408719148133%,16.677077734358%,8.56080305649578%,10.221247294333%,142,98.6858573216521%,97.1410723883958%,48.836817,2.349632
