régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
3,239121,CINÉMACHECOUL,PAYS DE LA LOIRE,23 RUE DES CAPUCINS,44087,Machecoul-Saint-Même,7859,44,44218,Machecoul-Saint-Même,7859,06-autres communes et unités urbaines,2,327,53,1250,38690,34941,10.7295154689333%,De 30 à 40 000 entrées,,OUI,E,JP,FIXE,NON,I,222,162,15,60.3330969080831%,27.2650852444374%,10.657524890325%,1.74429295715449%,111,25.5663430420712%,20.1355504767909%,46.993184,-1.823515
6,239353,PATHE MACON,BOURGOGNE / FRANCHE-COMTE,70 RUE MICHEL DEBRE,71270,Mâcon,35137,71,00554,Mâcon,63023,05-Unités urbaines de 20 000 à 100 000 hbts,11,2081,53,17165,384977,377548,1.96769682265566%,De 300 à 450 000 entrées,CINEMAS PATHE,OUI,D,JPPR,FIXE,OUI,C,579,351,252,51.619420820783%,32.0364319837938%,14.2487232588867%,2.09542393653646%,317,34.1229959320412%,23.7113621318985%,46.316471,4.838508
6,239412,LES ECRINS,AUVERGNE / RHONE-ALPES,STATION DE LA PLAGNE,73150,La Plagne Tarentaise,3959,73,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,289,31,394,8157,8470,-3.69539551357733%,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,174,152,47,52.5438273875199%,30.574966286625%,14.9809979159005%,1.90020840995464%,89,38.5786802030457%,14.7603285521638%,45.508685,6.679705
6,240661,SALLE SAINT MICHEL,BOURGOGNE / FRANCHE-COMTE,3 RUE AUBERT,25356,Maîche,4362,25,25112,Maîche,4559,06-autres communes et unités urbaines,1,320,50,398,17923,13059,37.2463435178804%,De 10 à 20 000 entrées,,OUI,E,,FIXE,NON,I,208,174,0,66.0007309051042%,21.6165184553539%,10.7138506517237%,1.66889998781825%,95,40.8970976253298%,35.7229869655256%,47.252947,6.800494
2,241923,THEATRE CLAUDE DEBUSSY,ILE-DE-FRANCE,116 AVENUE DU GENERAL DE GAULLE,94046,Maisons-Alfort,57944,94,00851,Paris,10947378,02-Petite Couronne,1,406,42,167,15955,16372,-2.54703151722453%,De 10 à 20 000 entrées,,NON,NON,,FIXE,NON,B,89,85,0,70.4648677531392%,9.67806572268234%,19.2492652952177%,0.607801228960727%,61,70.3703703703704%,64.6740582420518%,48.801474,2.430493
2,242003,L'ATALANTE,ILE-DE-FRANCE,48 RUE DU PRIEURE,78358,Maisons-Laffitte,23700,78,00851,Paris,10947378,03-Grande couronne,1,163,48,1100,37564,42193,-10.9710141492665%,De 30 à 40 000 entrées,,OUI,C,JP,FIXE,NON,B,166,119,26,62.4108436816231%,13.2192890227615%,20.118780369981%,4.2510869256344%,107,61.2810707456979%,57.6937285101304%,48.946355,2.147062
2,242422,MARCEL PAGNOL,ILE-DE-FRANCE,17 RUE BERANGER,92046,Malakoff,31412,92,00851,Paris,10947378,02-Petite Couronne,1,198,48,826,36057,35121,2.66507217903818%,De 30 à 40 000 entrées,,OUI,C,JP,FIXE,NON,B,185,136,18,67.6611756340365%,11.7237497037213%,16.1975586631903%,4.41751599905191%,156,86.9340232858991%,81.6455321166153%,48.820911,2.302756
3,242852,ARMORIC CINEMA,BRETAGNE,RUE DANIEL RIALET,56124,Malestroit,2564,56,56122,Malestroit,4926,06-autres communes et unités urbaines,1,234,53,406,11499,11792,-2.48473541383989%,De 10 à 20 000 entrées,,OUI,E,,FIXE,NON,C,212,170,1,58.3850320039389%,22.1762678483506%,12.9788281634663%,6.45987198424422%,108,44.9350649350649%,37.7449532250123%,47.808963,-2.386134
3,243552,REX,PAYS DE LA LOIRE,2 RUE DE LA GARE,72180,Mamers,5252,72,72203,Mamers,5761,06-autres communes et unités urbaines,2,271,53,2646,46801,43000,8.83953488372093%,De 40 à 50 000 entrées,,OUI,E,JPPR,FIXE,NON,C,385,281,94,62.7033906008545%,21.4798654667757%,12.1102627033906%,3.70648122897918%,203,32.0361635220126%,28.6542132533406%,48.347714,0.363927
7,243839,SALLE LEONARD DE VINCI,PROVENCE-ALPES-COTE D'AZUR,ESTEREL GALLERY,06079,Mandelieu-la-Napoule,22067,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,259,26,62,3290,6375,-48.3921568627451%,De 2 à 5 000 entrées,,NON,NON,,FIXE,NON,B,47,41,0,63.8138626749105%,13.8626749105109%,22.1932964529775%,0.130165961601041%,21,36.2068965517241%,22.3885453953791%,43.535959,6.929182
3,244455,CINE POCHE,PAYS DE LA LOIRE,97 GRANDE RUE,72181,Le Mans,147983,72,72701,Le Mans,221529,04-Unités urbaines de 100 000 hbts ou plus,1,99,6,6,110,85,29.4117647058824%,Moins de 2000 entrées,,NON,NON,,FIXE,NON,C,6,0,0,60.9090909090909%,39.0909090909091%,0%,0%,6,100%,100%,48.007214,0.195479
3,244481,CGR COLISEE,PAYS DE LA LOIRE,11 RUE DU PORT,72181,Le Mans,147983,72,72701,Le Mans,221529,04-Unités urbaines de 100 000 hbts ou plus,7,1126,53,9997,72443,55044,31.609258048107%,De 50 à 80 000 entrées,CGR,NON,NON,,FIXE,NON,C,203,130,112,42.6319846957714%,38.1292293635611%,12.199126288439%,7.03965965222854%,56,9.75389251632346%,15.5312223396054%,48.002865,0.194124
3,244491,LE ROYAL,PAYS DE LA LOIRE,409 AVENUE FELIX GENESLAY,72181,Le Mans,147983,72,72701,Le Mans,221529,04-Unités urbaines de 100 000 hbts ou plus,1,94,50,621,14940,12643,18.1681562920193%,De 10 à 20 000 entrées,,NON,NON,,FIXE,NON,C,202,139,1,73.3607511445643%,7.06137968495383%,11.9810661907348%,7.59680297974703%,114,55.3602811950791%,56.6850314270195%,47.968733,0.203923
3,244492,LES CINEASTES,PAYS DE LA LOIRE,PLACE DES COMTES DU MAINE,72181,Le Mans,147983,72,72701,Le Mans,221529,04-Unités urbaines de 100 000 hbts ou plus,4,383,49,6178,119687,113285,5.65123361433553%,De 100 à 150 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,558,230,184,61.6353994920013%,11.6741678178334%,18.0393030613609%,8.65112962880442%,510,97.625149495985%,96.8272358629295%,48.004856,0.20079
3,244496,PATHE LE MANS,PAYS DE LA LOIRE,3 PLACE DES JACOBINS,72181,Le Mans,147983,72,72701,Le Mans,221529,04-Unités urbaines de 100 000 hbts ou plus,11,1811,53,18784,397173,419829,-5.39648285373331%,De 300 à 450 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,450,256,197,46.1676694089989%,37.181532523822%,15.1026523959884%,1.54814567119071%,181,22.257172297847%,15.8574531791229%,48.007113,0.199047
2,244700,MEGA CGR,ILE-DE-FRANCE,PLACE HENRI DUNANT,78361,Mantes-la-Jolie,44114,78,00851,Paris,10947378,03-Grande couronne,9,2053,53,17481,355019,373743,-5.00985971643616%,De 300 à 450 000 entrées,CGR,NON,NON,,FIXE,OUI,B,270,171,158,30.5189744636111%,52.8898826476681%,14.7590182192258%,1.83212466949491%,49,10.9969580439649%,4.91428830529177%,48.989664,1.715981
2,244715,LE CHAPLIN,ILE-DE-FRANCE,PLACE MENDES FRANCE,78361,Mantes-la-Jolie,44114,78,00851,Paris,10947378,03-Grande couronne,1,300,46,268,9841,8830,11.4496036240091%,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,87,37,10,36.0453400503778%,19.6221662468514%,19.8614609571788%,24.4710327455919%,64,85.2216748768473%,80.4534005037783%,49.000101,1.683456
4,245883,CINE JIM 32,OCCITANIE,PLACE DU CHEVALIER D'ANTRAS,32233,Marciac,1288,32,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,88,52,417,8103,7352,10.214907508161%,De 5 à 10 000 entrées,,OUI,E,JP,FIXE,NON,R,278,237,15,60.1167051160266%,19.5820328402768%,15.7959017505767%,4.50536029311983%,184,62.9441624365482%,59.05821685439%,43.525284,0.161702
6,245911,VOX,BOURGOGNE / FRANCHE-COMTE,RUE DES ECOLES,71275,Marcigny,1754,71,71108,Marcigny,2900,06-autres communes et unités urbaines,1,166,52,582,9686,8515,13.7522019964768%,De 5 à 10 000 entrées,,OUI,E,,FIXE,NON,C,254,198,0,65.3667910025998%,19.8372329603255%,10.6250706454165%,4.17090539165819%,159,52.4436090225564%,38.0015824573302%,46.276444,4.040561
2,246432,ATMOSPHERE,ILE-DE-FRANCE,PARC DES CELESTINS,91363,Marcoussis,8398,91,00851,Paris,10947378,03-Grande couronne,1,231,53,926,22456,20200,11.1683168316832%,De 20 à 30 000 entrées,,OUI,C,JP,FIXE,NON,B,230,186,1,63.2865789220867%,21.563070419829%,11.1490056681718%,4.00134498991258%,157,56.4571428571429%,48.5061004899606%,48.642026,2.222592
