film,filmLabel,realisateurLabel,duree,genreLabel,dateLabel,note
http://www.wikidata.org/entity/Q76479,Pour une poignée de dollars,Sergio Leone,99,western,1964-01-01T00:00:00Z,96%
http://www.wikidata.org/entity/Q76479,Pour une poignée de dollars,Monte Hellman,99,western,1964-01-01T00:00:00Z,96%
http://www.wikidata.org/entity/Q76479,Pour une poignée de dollars,Sergio Leone,99,western,1964-10-20T00:00:00Z,96%
http://www.wikidata.org/entity/Q76479,Pour une poignée de dollars,Monte Hellman,99,western,1964-10-20T00:00:00Z,96%
http://www.wikidata.org/entity/Q76479,Pour une poignée de dollars,Sergio Leone,99,western,1965-03-05T00:00:00Z,96%
http://www.wikidata.org/entity/Q76479,Pour une poignée de dollars,Monte Hellman,99,western,1965-03-05T00:00:00Z,96%
http://www.wikidata.org/entity/Q76824,Cat Ballou,Elliot Silverstein,95,comédie,1965-01-01T00:00:00Z,7.3/10
http://www.wikidata.org/entity/Q82519,Le Propriétaire,Hal Ashby,110,drame,1970-05-20T00:00:00Z,93%
http://www.wikidata.org/entity/Q82519,Le Propriétaire,Hal Ashby,110,drame,1970-07-01T00:00:00Z,93%
http://www.wikidata.org/entity/Q86427,À bout de souffle,Jean-Luc Godard,87,drame,1960-01-01T00:00:00Z,96%
http://www.wikidata.org/entity/Q86427,À bout de souffle,Jean-Luc Godard,87,drame,1960-03-16T00:00:00Z,96%
http://www.wikidata.org/entity/Q86427,À bout de souffle,Jean-Luc Godard,87,drame,1960-07-05T00:00:00Z,96%
http://www.wikidata.org/entity/Q102754,James Bond 007 contre Dr No,Terence Young,105,film et téléfilm d'action,1962-01-01T00:00:00Z,95%
http://www.wikidata.org/entity/Q102754,James Bond 007 contre Dr No,Terence Young,105,film et téléfilm d'action,1962-10-05T00:00:00Z,95%
http://www.wikidata.org/entity/Q102754,James Bond 007 contre Dr No,Terence Young,105,film et téléfilm d'action,1962-10-10T00:00:00Z,95%
http://www.wikidata.org/entity/Q102754,James Bond 007 contre Dr No,Terence Young,105,film et téléfilm d'action,1962-10-12T00:00:00Z,95%
http://www.wikidata.org/entity/Q102754,James Bond 007 contre Dr No,Terence Young,105,film et téléfilm d'action,1963-01-25T00:00:00Z,95%
http://www.wikidata.org/entity/Q102754,James Bond 007 contre Dr No,Terence Young,105,film et téléfilm d'action,1963-05-08T00:00:00Z,95%
http://www.wikidata.org/entity/Q103474,"2001, l'Odyssée de l'espace",Stanley Kubrick,143,film ou téléfilm épique,1968-04-02T00:00:00Z,84/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,93,comédie,1964-01-01T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,93,comédie,1964-01-29T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,93,comédie,1964-04-10T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,93,comédie,1964-04-13T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,93,comédie,1964-04-24T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,102,comédie,1964-01-01T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,102,comédie,1964-01-29T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,102,comédie,1964-04-10T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,102,comédie,1964-04-13T00:00:00Z,97/100
http://www.wikidata.org/entity/Q105702,Docteur Folamour,Stanley Kubrick,102,comédie,1964-04-24T00:00:00Z,97/100
http://www.wikidata.org/entity/Q106440,Goldfinger,Guy Hamilton,109,film et téléfilm d'action,1964-09-17T00:00:00Z,99%
