film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q29658,To Rome with Love,http://commons.wikimedia.org/wiki/Special:FilePath/To%20Rome%20with%20Love.png,Woody Allen,112
http://www.wikidata.org/entity/Q29867,Jour de Fête,http://commons.wikimedia.org/wiki/Special:FilePath/Jour%20de%20Fete%20logo.png,Jacques Tati,76
http://www.wikidata.org/entity/Q31212,The Seventh Victim,http://commons.wikimedia.org/wiki/Special:FilePath/Seventh-victim-poster%20one%20sheet.jpg,Mark Robson,71
http://www.wikidata.org/entity/Q31791,The Company Men,http://commons.wikimedia.org/wiki/Special:FilePath/Affleck09TheCompanyMen%20-%20Crop.jpg,John Wells,109
http://www.wikidata.org/entity/Q46361,Lettere di una novizia,http://commons.wikimedia.org/wiki/Special:FilePath/Lettere%20di%20una%20novizia%20-Petit-.png,Alberto Lattuada,95
http://www.wikidata.org/entity/Q46477,Don Juan in Sicily,http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Giovanni%20in%20Sicilia%20-%20Lando%20Buzzanca.jpg,Alberto Lattuada,104
http://www.wikidata.org/entity/Q46568,Sweet Delusions,http://commons.wikimedia.org/wiki/Special:FilePath/Dolci%20inganni%20-%20Catherine%20Spaak.jpg,Alberto Lattuada,95
http://www.wikidata.org/entity/Q47221,Taxi Driver,http://commons.wikimedia.org/wiki/Special:FilePath/Taxi%20Driver%20logo.svg,Martin Scorsese,114
http://www.wikidata.org/entity/Q49003,Ghost,http://commons.wikimedia.org/wiki/Special:FilePath/Ghost%20opening%20title.jpg,Jerry Zucker,122
http://www.wikidata.org/entity/Q49018,Fly Away Home,http://commons.wikimedia.org/wiki/Special:FilePath/Fly%20Away%20Home%20aircraft.jpg,Carroll Ballard,107
http://www.wikidata.org/entity/Q49396,Lonely Are the Brave,http://commons.wikimedia.org/wiki/Special:FilePath/Gena%20Rowlands-Kirk%20Douglas%20in%20Lonely%20Are%20the%20Brave%20trailer.jpg,Kirk Douglas,107
http://www.wikidata.org/entity/Q49396,Lonely Are the Brave,http://commons.wikimedia.org/wiki/Special:FilePath/Gena%20Rowlands-Kirk%20Douglas%20in%20Lonely%20Are%20the%20Brave%20trailer.jpg,David Miller,107
http://www.wikidata.org/entity/Q49729,The Housemaid,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Housemaid%20%281960%29.jpg,Kim Ki-young,111
http://www.wikidata.org/entity/Q50714,Stagecoach,http://commons.wikimedia.org/wiki/Special:FilePath/Stagecoach-09.jpg,John Ford,97
http://www.wikidata.org/entity/Q50714,Stagecoach,http://commons.wikimedia.org/wiki/Special:FilePath/Stagecoach-1939.jpg,John Ford,97
http://www.wikidata.org/entity/Q50937,It Came from Beneath the Sea,http://commons.wikimedia.org/wiki/Special:FilePath/It%20Came%20From%20Beneath%20the%20Sea%20%281955%29%20trailer%20-%20Sixtopus%202.png,Robert Gordon,79
http://www.wikidata.org/entity/Q53115,High School Musical 3: Senior Year,http://commons.wikimedia.org/wiki/Special:FilePath/High%20School%20Musical%203.jpg,Kenny Ortega,112
http://www.wikidata.org/entity/Q53481,Sátántangó,http://commons.wikimedia.org/wiki/Special:FilePath/Nagyt%C5%91ke%20ny%C3%A1ri%20pusztaBlack%20and%20white.JPG,Béla Tarr,450
http://www.wikidata.org/entity/Q54968,What Will You Do When You Catch Me?,http://commons.wikimedia.org/wiki/Special:FilePath/Co%20mi%20zrobisz%20jak%20mnie%20zlapiesz%20%E2%80%93%20poster%20%28Polish%20film%2C%201978%29.png,Stanisław Bareja,99
http://www.wikidata.org/entity/Q54970,Czlowiek z M-3,http://commons.wikimedia.org/wiki/Special:FilePath/Modelska%20Kobiela%20Cz%C5%82owiek%20z%20M-3.jpg,Leon Jeannot,92
http://www.wikidata.org/entity/Q54986,The Adventures of Anton,http://commons.wikimedia.org/wiki/Special:FilePath/Przygody%20pana%20Antoniego.png,Wiktor Biegański,
http://www.wikidata.org/entity/Q54989,Women's Republic,http://commons.wikimedia.org/wiki/Special:FilePath/Aleksandra%20Zawieruszanka.JPG,Hieronim Przybył,96
http://www.wikidata.org/entity/Q54990,Sami swoi,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Wac%C5%82aw%20Kowalski%20W%C5%82adys%C5%82aw%20Ha%C5%84cza.jpg,Sylwester Chęciński,81
http://www.wikidata.org/entity/Q54993,Vabank,http://commons.wikimedia.org/wiki/Special:FilePath/Henryk%20Kwinto%20mural%2C%20Vabank%2C%20Piramowicza%206%2C%20%C5%81%C3%B3d%C5%BA%2C%202023-03-18%2C%2003.jpg,Juliusz Machulski,108
http://www.wikidata.org/entity/Q59084,Mutiny on the Bounty,http://commons.wikimedia.org/wiki/Special:FilePath/Poster%20for%20Mutiny%20on%20the%20Bounty.jpg,Carol Reed,178
http://www.wikidata.org/entity/Q59084,Mutiny on the Bounty,http://commons.wikimedia.org/wiki/Special:FilePath/Poster%20for%20Mutiny%20on%20the%20Bounty.jpg,Lewis Milestone,178
http://www.wikidata.org/entity/Q1365,Swept Away,http://commons.wikimedia.org/wiki/Special:FilePath/MelatoGianniniTravolti1974WP.jpg,Lina Wertmüller,114
http://www.wikidata.org/entity/Q2201,Kick-Ass,http://commons.wikimedia.org/wiki/Special:FilePath/Kick-ass.svg,Matthew Vaughn,117
http://www.wikidata.org/entity/Q2345,12 Angry Men,http://commons.wikimedia.org/wiki/Special:FilePath/12%20Angry%20Men%20%281957%20film%20poster%29.jpg,Sidney Lumet,95
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://commons.wikimedia.org/wiki/Special:FilePath/Clark%20Gable%20and%20Vivien%20Leigh%20in%20Gone%20with%20the%20Wind.jpg,George Cukor,238
