régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
4;411461;ELDORADO;NOUVELLE AQUITAINE;5 RUE DE LA REPUBLIQUE;17385;Saint-Pierre-d'Oléron;6682;17;17204;Saint-Pierre-d'Oléron;6682;06-autres communes et unités urbaines;3;630;53;3700;72284;52004;38.9970002307515;De 50 à 80 000 entrées;;OUI;E;RDJPPR;FIXE;NON;I;338;241;93;56.2729273661042;28.3759872254111;9.42269791262066;5.92838749586408;220;34.2209370909039;45.943128;-1.308557;45.943128, -1.308557
4;430243;AMERICAN COSMOGRAPH 1;OCCITANIE;24 RUE MONTARDY;31555;Toulouse;503020;31;31701;Toulouse;1024959;04-Unités urbaines de 100 000 hbts ou plus;3;441;53;5669;162239;104073;55.8896159426556;De 150 à 200 000 entrées;;OUI;A;RDJPPR;FIXE;NON;C;305;153;131;60.9323855823052;12.216175036961;11.2923114666253;15.5591279141085;231;89.6076646459169;43.604016;1.446784;43.604016, 1.446784
4;439901;APOLLO;OCCITANIE;RUE DES LIMOUSINS;82186;Valence;5381;82;82202;Valence;7932;06-autres communes et unités urbaines;1;148;51;522;10871;6394;70.01876759462;De 10 à 20 000 entrées;;OUI;E;JP;FIXE;NON;C;261;205;0;51.8435862604308;27.5858723073938;13.4290704444013;7.14147098777411;130;34.8437803221424;44.107657;0.889685;44.107657, 0.889685
4;706900;VEO GRAND-CENTRAL;OCCITANIE;Allée du Rouergue;31149;Colomiers;40342;31;31701;Toulouse;1024959;04-Unités urbaines de 100 000 hbts ou plus;5;769;53;8456;138570;46610;197.296717442609;De 100 à 150 000 entrées;;NON;NON;;FIXE;NON;B;376;251;173;47.9399350896707;37.1238324521172;9.6778863002636;5.25834615794847;191;20.2037209160584;43.609645;1.330951;43.609645, 1.330951
4;724800;GALAXY;AUVERGNE-RHONE-ALPES;1 RUE DE LA BELLE ALLEE;38090;Château-Bernard;273;38;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;6;1076;53;8793;155427;90858;71.0658390015189;De 150 à 200 000 entrées;;NON;NON;;FIXE;NON;R;203;165;136;39.9912706995166;46.3949291884356;10.5468190168462;3.06698109520149;48;5.69814860656912;44.97498;5.575891;44.97498, 5.575891
5;69231;LE FOYER;HAUTS DE FRANCE;5 RUE DES BERSAULTS;59098;Bousbecque;4845;59;59702;Lille (partie française);1062604;04-Unités urbaines de 100 000 hbts ou plus;1;356;50;261;10392;4500;130.933333333333;De 10 à 20 000 entrées;;OUI;C;;FIXE;NON;B;136;107;2;64.9254498714653;18.4575835475578;12.7609254498715;3.8560411311054;84;36.7095115681234;50.770801;3.08126;50.770801, 3.08126
6;12401;STUDIO;AUVERGNE-RHONE-ALPES;VALMOREL;73024;Les Avanchers-Valmorel;790;73;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;2;345;28;740;7736;4504;71.7584369449378;De 5 à 10 000 entrées;;NON;NON;;FIXE;NON;R;139;115;29;44.2735263702172;45.2300930713547;7.22595656670114;3.27042399172699;47;10.005170630817;45.46071;6.441929;45.46071, 6.441929
6;14222;CASSE MASSION;AUVERGNE-RHONE-ALPES;LA RUA;73013;Albiez-Montrond;374;73;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;1;214;28;220;2927;1038;181.984585741811;De 2 à 5 000 entrées;;NON;NON;;FIXE;NON;R;103;87;20;63.8714185883997;29.9091544374563;4.78686233403215;1.43256464011181;37;22.0824598183089;45.217522;6.343043;45.217522, 6.343043
6;16573;LA FACADE 1;AUVERGNE-RHONE-ALPES;RUE BLAISE PASCAL;63003;Ambert;6877;63;63203;Ambert;7442;06-autres communes et unités urbaines;2;307;53;1131;17145;9803;74.8954401713761;De 10 à 20 000 entrées;;OUI;E;;FIXE;NON;C;165;137;5;53.8680559762525;36.1846489368147;8.2389289392379;1.70836614769492;72;20.1793178651481;45.547184;3.745498;45.547184, 3.745498
6;95732;CINEMASCOOP;AUVERGNE-RHONE-ALPES;18 RUE DE LA POSTE;43051;Le Chambon-sur-Lignon;2465;43;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;2;196;51;1027;10003;6875;45.4981818181818;De 10 à 20 000 entrées;;OUI;E;RDJP;FIXE;NON;R;255;195;1;67.4833194328607;15.4920767306088;10.5608840700584;6.46371976647206;188;65.6693077564637;45.061194;4.302941;45.061194, 4.302941
