film,filmLabel,realisateurLabel,duree,genreLabel,dateLabel,note
http://www.wikidata.org/entity/Q72330,Au cœur du mensonge,Claude Chabrol,113,drame,1999-01-01T00:00:00Z,6.4/10
http://www.wikidata.org/entity/Q72330,Au cœur du mensonge,Claude Chabrol,113,drame,1999-08-12T00:00:00Z,6.4/10
http://www.wikidata.org/entity/Q72962,Reservoir Dogs,Q3772,99,drame,1992-01-21T00:00:00Z,81/100
http://www.wikidata.org/entity/Q72962,Reservoir Dogs,Q3772,99,drame,1992-09-10T00:00:00Z,81/100
http://www.wikidata.org/entity/Q72962,Reservoir Dogs,Q3772,99,drame,1992-10-08T00:00:00Z,81/100
http://www.wikidata.org/entity/Q72962,Reservoir Dogs,Q3772,99,drame,1992-10-09T00:00:00Z,81/100
http://www.wikidata.org/entity/Q73651,Double Jeu,Bruce Beresford,105,film ou téléfilm criminel,1999-09-21T00:00:00Z,41/100
http://www.wikidata.org/entity/Q80608,La Couleur du paradis,Majid Majidi,88,drame,1999-01-01T00:00:00Z,80/100
http://www.wikidata.org/entity/Q80608,La Couleur du paradis,Majid Majidi,90,drame,1999-01-01T00:00:00Z,80/100
http://www.wikidata.org/entity/Q81597,New Jersey Drive,Nick Gomez,98,drame,1995-01-01T00:00:00Z,6.3/10
http://www.wikidata.org/entity/Q83495,Matrix,Lilly Wachowski,136,cyberpunk,1999-03-31T00:00:00Z,3/4
http://www.wikidata.org/entity/Q83495,Matrix,Lana Wachowski,136,cyberpunk,1999-03-31T00:00:00Z,3/4
http://www.wikidata.org/entity/Q83495,Matrix,Lilly Wachowski,136,cyberpunk,1999-06-17T00:00:00Z,3/4
http://www.wikidata.org/entity/Q83495,Matrix,Lana Wachowski,136,cyberpunk,1999-06-17T00:00:00Z,3/4
http://www.wikidata.org/entity/Q83495,Matrix,Lilly Wachowski,136,cyberpunk,1999-07-14T00:00:00Z,3/4
http://www.wikidata.org/entity/Q83495,Matrix,Lana Wachowski,136,cyberpunk,1999-07-14T00:00:00Z,3/4
http://www.wikidata.org/entity/Q84147,Anna Karénine,Bernard Rose,108,drame,1997-01-01T00:00:00Z,26%
http://www.wikidata.org/entity/Q84147,Anna Karénine,Bernard Rose,108,drame,1997-05-01T00:00:00Z,26%
http://www.wikidata.org/entity/Q104123,Pulp Fiction,Q3772,154,drame,1994-05-21T00:00:00Z,9.3
http://www.wikidata.org/entity/Q104123,Pulp Fiction,Q3772,154,drame,1994-10-14T00:00:00Z,9.3
http://www.wikidata.org/entity/Q104123,Pulp Fiction,Q3772,154,drame,1994-11-03T00:00:00Z,9.3
http://www.wikidata.org/entity/Q104137,Impitoyable,Clint Eastwood,131,drame,1992-01-01T00:00:00Z,85/100
http://www.wikidata.org/entity/Q104137,Impitoyable,Clint Eastwood,131,drame,1992-08-03T00:00:00Z,85/100
http://www.wikidata.org/entity/Q104137,Impitoyable,Clint Eastwood,131,drame,1992-08-07T00:00:00Z,85/100
http://www.wikidata.org/entity/Q104137,Impitoyable,Clint Eastwood,131,drame,1992-09-24T00:00:00Z,85/100
http://www.wikidata.org/entity/Q105031,"Maman, j'ai raté l'avion !",Chris Columbus,103,comédie,1991-01-17T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,138,film et téléfilm d'action,1996-01-01T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,138,film et téléfilm d'action,1996-09-19T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,138,film et téléfilm d'action,1996-10-02T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,138,film et téléfilm d'action,1996-10-03T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,144,film et téléfilm d'action,1996-01-01T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,144,film et téléfilm d'action,1996-09-19T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,144,film et téléfilm d'action,1996-10-02T00:00:00Z,67%
http://www.wikidata.org/entity/Q105387,Independence Day,Roland Emmerich,144,film et téléfilm d'action,1996-10-03T00:00:00Z,67%
